题干,内容
高催乳激素血症患者月经紊乱主要表现为,"A.月经量多 B.月经频发 C.阴道不规则流血 D.月经量少 E.痛经
正确答案：D"
无排卵性功能失调性子宫出血患者诊断性刮宫的病理结果，不可能出现的项目为：,"A.分泌期与增生期内膜并存  B.子宫内膜单纯型增生 C.子宫内膜复杂型增生 D.萎缩型子宫内膜 E.增生期子宫内膜
正确答案：A"
产后出血是指：,"A.胎儿娩出后2小时出血超过500ml. B.胎盘娩出后2小时出血超过500ml. C.胎儿娩出后12小时出血超过1000ml. D.剖宫产1小时内出血超过1000ml. E.胎儿娩出后24小时内出血超过500ml. 
正确答案：E"
盆腔炎性疾病不包括：,"A.子宫内膜炎 B. 输卵管炎 C.输卵管卵巢囊肿 D.盆腔腹膜炎 E.直肠旁结缔组织炎
正确答案：E"
关于原发性痛经的病因，错误的是,"A. 青春期少女的痛经绝大多数是原发性痛经 B. 精神因素 C.子宫肌肉和纤维组织比例失调 D.痛经常发生在有排卵的月经周期 E.子宫合成和释放前列腺素减少
正确答案：E"
输卵管妊娠最常见的病因是,"A. 输卵管发育不良或功能异常 B.慢性输卵管炎 C.输卵管复通术后 D.盆腔子宫内膜异位症 E.宫内放置节育器后
正确答案：B"
疑为宫外孕破裂，最常用的辅助检查方法是,"A.妊娠试验 B.B超 C.阴道穹穿刺 D.腹腔镜检查 E.诊断性刮宫
正确答案：C"
产褥期是指产后,"A.1周 B.4周 C. 6周 D.8周 E.12周
正确答案：6周"
总产程及产程分期的时间正确的是,"A.从规律宫缩至胎儿娩出称总产程 B.第一产程初产妇约需14-16小时 C.第一产程经产妇约需10-12小时 D.第二产程初产妇不超过2小时 E.第三产程不超过30分钟
正确答案：E"
枕左前位胎头进入骨盆入口时衔接的经线是：,"A.双顶径 B.双颞径 C. 枕下前囟径 D.枕额径 E.枕颏径
正确答案：D"
妊娠期高血压疾病的基本理论变化为：,"A.水钠潴留 B.血液浓缩 C.血管脆性及通透性增高 D.全身小血管痉挛 E.低血容量
正确答案：D"
关于HELLP综合征，下列说法错误的是,"A.溶血 B.妊娠期高血压疾病 C.肝酶升高 D.血小板减少 E.病毒性肝炎
参考答案：E"
与过期妊娠无关的是,"A.羊水过多 B.头盆不称 C.巨大胎儿 D.雌孕失调 E.胎盘缺硫酸酯酶
参考答案：A"
过期妊娠时，下述情况需立即终止妊娠的是,A.OCT阴性 B.NST有反应型 C.B超显示羊水过少 D.尿E3值16mg/24小时 E.12h内胎动12次
下列组合正确的是,"A.滴虫阴道炎 豆渣样阴道分泌物 B. 外阴阴道假丝酵母菌病 黄白色泡沫阴道分泌物 C.细菌性阴道病 匀质稀薄阴道分泌物有异味 D.需氧菌性阴道炎 米汤样血性阴道分泌物 E.细胞溶解性阴道病 泡沫状样阴道分泌物
参考答案：C"
急性宫颈炎的致病菌中，下列最常见的是：,"A.沙眼衣原体 B.人型支原体 C.葡萄球菌 D.肠球菌 E.链球菌
参考答案：A"
对于阴道炎的治疗，下列哪项是不恰当的,"A.滴虫阴道炎的治愈标准，是在滴虫转阴后每次月经后复查白带，3次阴性为治愈 B.外阴阴道假丝酵母菌病反复发作应查尿糖血糖，以了解是否伴有糖尿病 C.萎缩性阴道炎的治疗原则是增加阴道抵抗力及抑制细菌生长 D.阴道炎病人在应用药物控制炎症外，注意个人卫生和公共卫生，防止交叉感染 E.阴道炎的治疗必须在局部用药外加全身抗炎治疗
参考答案：E"
