题干,内容
下列哪种情况不是应用组织扩张器的适应症,A.斑秃性脱发 B.前胸瘢痕疙瘩 C.全鼻再造 D.颈部瘢痕挛缩 E.阴囊再造 答案：B
鞍区肿瘤手术中所谓的第二间隙是指,A.视神经、视交又前间隙 B.视神经-颈内动脉间隙 C.颈内动脉外侧间隙 D.视交叉上间隙 E.小脑幕-动眼神经间隙 正确答案:B 解析:第一间隙为视神经、视交叉前间隙，第二间隙为视神经-颈内动脉间隙，第三间隙为颈内动脉外侧-动眼神经间隙，第四间隙为视交叉上间隙。
下列哪项检查是确诊脓胸的最好方法?,A.胸部X线检查 B.超声波检查 C.胸腔穿刺 D.支气管纤维镜检查 E.支气管造影  正确答案:C
关于痉挛的益处，以下哪项是错误的,A.下肢伸肌痉挛有助于患者站立和行走 B.活动过强的牵张反射可促进等长和向心收缩的肌力 C.可相对保持肌容积 D.充当静脉肌肉泵，降低发生深静脉血栓的危险性 E.降低麻痹肢体的水肿 正确答案:B 解析:痉挛阻碍随意的肌肉活动和控制
如果抗体筛选试验阴性,A.绝对排除不规则抗体 B.肯定有不规则抗体 C.排除规则抗体 D.不能绝对排除不规则抗体 E.肯定有规则抗体 正确答案:D
正常颈内动脉血流频谱是下列哪种表现,A.低阻力频谱 B.高阻力频谱 C.舒张期三峰频谱 D.宽频毛刺样频谱 E.窄频三峰递减型频谱 正确答案:A
下列哪项可用抗甲状腺药物治疗:,A.妊娠早期甲亢 B.妊娠中期甲亢 C.原发甲亢基础代谢率为+20%-+30% D.对抗甲状腺药物过敏 E.胸骨后甲状腺肿并发甲亢 正确答案:C
男，55岁。间断发作性血压升高3年，血压最高可达200/120mmHg，伴心悸、头痛、头晕、出汗、呼吸困难休息后2小时左右症状可自行缓解，血压恢复正常。既往体健，无高血压家族史。最可能的诊断是,A.高血压病 B.嗜铬细胞瘤 C.肾动脉狭窄 D.皮质醇增多症 E.醛固酮增多症 正确答案:B
患者，女性，18岁，在社区卫生服务中心静脉输注头孢唑啉钠时出现过敏性休克，经积极抢救后血压恢复正常，神志清，脉搏90次/分。下一步处理,A.继续留院观察24小时 B.离院 C.收住入院 D.离院，但需电话回访 E.转至上级医院
上颌动脉在翼腭窝内相继分出以下哪些分支,A.腭大动脉、眶下动脉、蝶腭动脉 B.眶下动脉、腭大动脉、蝶腭动脉 C.蝶腭动脉、腭大动脉、眶下动脉 D.蝶腭动脉、眶下动脉、腭大动脉 E.眶下动脉、蝶腭动脉、腭大动脉 正确答案:D 解析:上颌动脉是颈外动脉较粗的分支，从颈外动脉几乎呈直角分出后，水平迂曲向前，穿过翼外肌的两肌头而达翼腭窝，相继分出蝶腭动脉、眶下动脉、腭大动脉等分支。
坐位平衡反应的阳性反应是,A.被牵拉一侧出现保护性反应，另一侧上、下肢回缩 B.被牵拉一侧出现保护性反应，另一侧上、下肢伸展 C.被牵拉一侧回缩，另一侧上、下肢出现保护性反应 D.被牵拉一侧伸展，另一侧上、下肢回缩 E.头部和躯干上部出现向牵拉侧的调整 正确答案:B 解析:坐位平衡反应的受检者坐在椅子上，检查者将受检者上肢向一侧牵拉。阳性反应:头部和躯干上部出现向中线的调整，被牵拉一侧出现保护性反应，另一侧上、下肢伸展并外展
提示病情恶化的神经系统表现不包括,A.嗜睡 B.间歇性跛行 C.精神混乱 D.焦虑 E.攻击性行为 正确答案:B
溃疡性结肠炎的病变主要累及肠壁的,A.肠道全层 B.粘膜层、粘膜下层和固有肌层 C.粘膜层和粘膜下层 D.粘膜层和粘膜肌层 E.粘膜层 正确答案:C
男性，37岁。间断胸闷憋气1年，多于吸入刺激性气味后发作，有时伴咳嗽。曾诊断为“哮喘”，不规律口服氨茶碱。6小时前去朋友家接触宠物狗后出现喘息、呼吸困难。查体:P100次/分，R 24次/分，喘息貌，双肺可闻及较多呼气相哮鸣音。针对此患者，应首先给予的治疗措施是,A.吸入糖皮质激素 B.吸入长效B2受体激动剂 C.吸入短效B2受体激动剂 D.口服B2受体激动剂 E.口服白三烯受体调节剂 正确答案:C
"患者，男，48岁。骑自行车时摔倒，自行车把撞击中腹部4小时，来院急诊。主诉脐周剧痛，全腹稍隆，脐周压痛、反跳痛，移动性浊音阴性，肠鸣音可闻及。采集病史时,应特别注意询问",A.既往病史 B.腹痛程度 C.受伤部位 D.有无意识丧失 E.有无表皮擦破 正确答案:C
来访者中心疗法中适宜的治疗气氛不包括,A.阐释 B.共情 C.真诚 D.无条件的关注 E.设身处地的理解 正确答案:A
DR不同于传统X线图像的特点是,A.图像可以调节 B.图像无影像失真 C.图像为直接模拟灰度图像 D.图像具有影像放大 E.图像是重叠图像 正确答案:A
按吸收X线能量的能力从低到高排列，顺序正确的是,A.骨组织、肌肉、脂肪、气体 B.肌肉、脂肪、骨组织、气体 C.气体、脂肪、肌肉、骨组织 D.肌肉、骨组织、气体、脂肪 E.气体、骨组织、肌肉、脂肪 正确答案:C
下列对垂体描述错误的是,A.借漏斗经鞍膈与灰结节相连 B.垂体位于垂体窝内 C.垂体肿瘤向下可突入第三脑室 D.垂体肿瘤向两侧可压迫海绵窦 E.垂体肿瘤向前上可压迫视交叉 正确答案:C 解析:垂体肿瘤向上可突入第三脑室。
属于传染病的是,A.急性支气管炎 B.化脓性胆囊炎 C.炭疽 D.化脓性腮腺炎 E.大叶性肺炎 正确答案:C 解析：全部均为感染性疾病，但只有炭疽才具有传染性，
关于流脑流行病学的叙述，正确的是,A.夏秋季为发病高峰 B.通过蚊虫叮咬传播 C.引起流脑大流行的脑膜炎双球菌菌群为A群 D.每年接种流脑疫苗是预防流脑的主要措施 E.引起流脑大流行的主要原因是细菌耐药 正确答案:C
首次取消了精神病与神经症的严格划分，取消了神经衰弱的诊断类别，肢解了神经症的诊断标准是,A.DSM-III B.RDC C.DSM-IV D.ICD E.CCMD-3 正确答案:A
便秘腹泻交替3年。查体:右下腹5cmx5cm肿块，质25岁女性，低热，单选题 中等，较固定，轻压痛。最具诊断意义的检查是,A.血沉 B.血常规 C.结肠镜检查 D.X线钡剂透视 E.诊断性腹腔穿刺 正确答案:C
尿酸性肾结石患者，通常应谨慎使用的药物是,A.碳酸氢钠 B.秋水仙碱 C.非布司他 D.别嘌呤醇 E.苯溴马隆 正确答案:E
"发生可疑溶血性输血反应,送输血科的患者血样要求","A.立即采集单管抗凝血 B.立即采集单管不抗凝血 C.立即采集两管血样,一管抗凝血,另一管不抗凝血 D.反应发生后2小时采集抗凝血和不抗凝血 E.反应发生后次日采集抗凝血和不抗凝血 正确答案:C"
胸骨左缘第2-3肋间闻及收缩期杂音，不考虑以下那种疾病,A.房间隔缺损 B.肺动脉瓣狭窄 C.动脉导管未闭 D.双腔右心室 E.二尖瓣反流 正确答案:E
有关烧伤后机体蛋白质代谢异常，下列说法不正确的是,A.蛋白质分解加速，创面丢失蛋白质，出现负氮平衡 B.蛋白质分解主要用于热量消耗及组织修复 C.烧伤后机体丢失的氮主要来源于损伤组织 D.烧伤后急性期反应蛋白合成迅速增加 E.伤后氨基酸释放增加与损伤严重程度成正比 正确答案:C
一侧面神经麻痹时，外鼻体表标志变化最明显的是,A.鼻尖 B.鼻小柱 C.鼻唇沟 D.前鼻孔 E.鼻背 正确答案:C 鼻唇沟为鼻翼与面颊交界处，正常时两侧鼻唇沟深度对称，若一侧面神经麻痹，则该侧鼻唇沟变浅或消失。
以下哪种自身抗体的水平与疾病活动度相关,A.抗Sc1-70 B.抗ds-DNA C.抗Sm D.抗rRNP E.抗Jo-1 正确答案:B
海绵窦解剖中著名的Parkinson三角位于,A.前床突与动眼神经之间 B.动眼神经、滑车神经与三又神经眼支之间 C.三又神经眼支与上颌支之间 D.前床突与后床突之间 E.后床突与床突间韧带之间 正确答案:B
下列哪一项不是葡萄胎镜下特征,A.绒毛间质内血管扩张充血 B.绒毛间质高度水肿 C.绒毛间质血管消失 D.绒毛膜的滋养叶上皮细胞增生 E.绒毛膜滋养叶上皮细胞出现不同程度的不典型性 正确答案:A
风湿性心脏病患者心尖区听到舒张期隆隆样杂音，首先考虑的是?,A.二尖瓣狭窄 B.二尖瓣关闭不全 C.主动脉瓣狭窄 D.主动脉瓣关闭不全 E.三尖瓣狭窄 正确答案:A
"男性患者，34岁，既往健康。以""双侧下肢无力伴尿潴留1周""为主诉入院。查体:双侧下肢肌力1级，肌张力减低，腱反射消失，双侧T10以下深浅感觉均消失，双侧Babinski征阴性。辅助检查:脑脊液无色透明，压力160mmH20，细胞数5x106，蛋白0.25g，糖2.9mmol，氯化物125mmol。本病最不可能的病因为",A.细菌感染 B.病毒感染 C.疫苗接种 D.免疫反应 E.不明原因 正确答案:A
男性，35岁。间断发作性喘息2年。既往曾诊断为过敏性鼻炎，常年性，未规律治疗。1小时前打扫房间时出现频繁打喷、流清水样鼻涕，继而出现憋气、喘息，症状逐渐加重至出现严重的呼吸困难。遂急诊就诊。查体:P120次/分，R32次/分，BP160/80mmHg;口唇发绀，神情紧张，可见三凹征，呼气相延长，双肺满布哮鸣音，心律齐，未闻及杂音。为评估患者病情严重程度，应进行的检查是,A.胸片 B.动脉血气分析 C.肺功能 D.心电图 E.呼出气一氧化氮(FeNO) 正确答案:B
DIC引起的贫血属于,A.微血管自身免疫性溶血性贫血 B.微血管病性溶血性贫血 C.失血性贫血 D.再生障碍性贫血 E.营养性贫血 正确答案:B
25岁女性，发现右乳单发肿块2年，边界清楚，表面光滑，肿块活动度大，2年来肿块无明显增大，最可能的诊断是,A.乳腺癌 B.乳腺囊性增生 C.乳腺脂肪坏死 D.浆细胞性乳腺炎 E.乳腺纤维腺瘤 正确答案:E
十二指肠闭锁最多发生的部位为,A.任何部位 B.壶腹部附近 C.球部 D.升部 E.水平部 正确答案:B
除下列哪项外，均是新生儿换血常见不良反应(输血科医师),A.高血糖 B.低血钙 C.肾功能衰竭 D.血小板减少 E.代谢性酸中毒 正确答案:A
下列哪支血管为颈内动脉第一分支,A.眼动脉 B.视网膜中央动脉 C.睫状后长动脉 D.睫状后短动脉 E.睫状前动脉 正确答案:A
闭合性颅盖骨折诊断主要依靠,A.头皮肿胀有波动 B.出现神经压迫体征 C.触诊局部有凹陷感 D.头部X线片 E.触知骨擦音 正确答案:D
晚期肾癌的典型三大症状是,A.血尿、疼痛和肿块 B.血尿、疼痛和高血压 C.高血钙、疼痛和高血压 D.高血钙、疼痛和肿块 E.消瘦、贫血和虚弱 正确答案:A
"怀疑发生溶血性或细菌污染性输血不良反应时,应该","A.继续输血 B.立即停止输血 C.放慢速度输血 D.除红细胞外,其它成分血可以继续输血 E.血中加抗菌素后继续输血 正确答案:B"
对于电击伤的现场处理，以下不正确的是,A.迅速脱离电源 B.抢救者注重自身的安全 C.轻型触电者可自行回家，不必处理 D.重型触电者就地抢救 E.转运途中不能中断抢救 正确答案:C
为了解患者肺泡换气功能，给予100%氧，吸入15min，观察吸纯氧前后的Pa02，如变化不大，属下列何种异常?,A.功能性分流 B.解剖性分流 C.弥散障碍 D.死腔样通气 E.通气障碍 正确答案:B
关于偏执性精神障碍，以下哪项说法正确,A.妄想系统，幻觉持续 B.安想不系统，幻觉与妄想有关 C.妄想系统，持久的妄想性障碍 D.妄想不系统，幻觉与妄想不一定有关 E.妄想不系统，幻觉持续 正确答案:C
患者，男性，85岁。因咳嗽发热1个月，昏迷5小时入院。高血压史30余年，无明显糖尿病史。体检:体型消瘦，深度昏迷，脱水貌。四肢冷双侧中、下肺可闻及湿啰音。血压10.6/5.3kPa(80/40mmHg)，心率124次分，心律不齐，未见双下肢水肿。尿糖(++++)，尿酮(-)，ECG提示频发室性期前收缩。为进一步确诊，应选择下列哪组检查,A.血浆渗透压，血糖、血酮、血p小时 B.血糖，血肌酐，血尿素氮 C.血糖、血酮 D.血浆胰岛素水平 E.血钠、血糖、血肌酐 正确答案:A
骶髓病变时，通常不应出现的情况是,A.大小便障碍 B.肛门反射消失 C.马鞍形感觉缺失 D.锥体束征阴性 E.下肢严重瘫痪 正确答案:E
